Sigla;Unidade da Federação;4º trimestre 2012;4º trimestre 2013;4º trimestre 2014;4º trimestre 2015;4º trimestre 2016;4º trimestre 2017;4º trimestre 2018
RO;Rondônia;5,3;4,9;3,6;6,3;7,8;7,6;8,9
AC;Acre;8,1;6,9;6,2;7,7;11,7;12,2;13,1
AM;Amazonas;8,4;7,6;7,7;9,1;14,8;13,5;14,4
RR;Roraima;8,4;6,6;6,3;8,1;9,2;9,4;14
PA;Pará;6,8;6;7;8,6;12,7;10,7;10,2
AP;Amapá;11,8;9,2;9,5;12,7;16,8;18,8;19,6
TO;Tocantins;7,6;6,4;6,3;9;13,1;10,5;10,4
MA;Maranhão;7,5;5,5;7;8,2;13;13,3;14,1
PI;Piauí;6,9;6,9;5,9;7,2;8,8;13,3;12,3
CE;Ceará;7,5;6,9;6,6;9;12,4;11,1;10,1
RN;Rio Grande do Norte;11,5;9,8;10,4;12,2;14,7;12,3;13,4
PB;Paraíba;9;8,4;8,1;9,5;11,9;10,1;11
PE;Pernambuco;9,2;7,3;7,6;11;15,6;16,8;15,5
AL;Alagoas;11;9,3;9,4;11,3;14,8;15,5;15,9
SE;Sergipe;9,5;8,7;8,9;9,9;15;13,4;15
BA;Bahia;10,8;9;9,7;12,2;16,6;15;17,4
MG;Minas Gerais;6,2;5,7;6,2;9,3;11,1;10,6;9,7
ES;Espírito Santo;6,7;5,9;6;9,1;13,6;11,6;10,2
RJ;Rio de Janeiro;6,8;6,2;5,8;8,5;13,4;15,1;14,8
SP;São Paulo;6,8;6,5;7,1;10,1;12,4;12,7;12,4
PR;Paraná;4,3;3,7;3,7;5,8;8,1;8,3;7,8
SC;Santa Catarina;2,7;2,5;2,7;4,2;6,2;6,3;6,4
RS;Rio Grande do Sul;4,3;4,6;4,5;6,5;8,3;8;7,4
MS;Mato Grosso do Sul;5;4,5;3,8;5,9;8,2;7,3;7
MT;Mato Grosso;4,6;3,7;4;5,7;9,5;7,3;6,9
GO;Goiás;5,1;4;5;7,7;11,2;9,4;8,2
DF;Distrito Federal;8,8;8,4;8,7;9,7;13,9;13,2;12,1
